iter	Passed	Remaining
0	61	61098
1	61	30757
2	61	20573
3	62	15484
4	62	12462
5	62	10435
6	63	8988
7	63	7899
8	64	7053
9	64	6376
10	64	5821
11	65	5367
12	65	4972
13	65	4638
14	66	4349
15	66	4093
16	66	3869
17	67	3666
18	67	3489
19	68	3332
20	68	3187
21	68	3053
22	69	2933
23	69	2818
24	69	2714
25	69	2619
26	70	2530
27	70	2447
28	70	2369
29	71	2296
30	71	2228
31	71	2164
32	71	2104
33	72	2049
34	72	1995
35	72	1945
36	72	1898
37	73	1856
38	73	1815
39	73	1774
40	74	1736
41	74	1700
42	74	1664
43	75	1631
44	75	1600
45	75	1569
46	75	1540
47	76	1512
48	76	1484
49	76	1459
50	77	1435
51	77	1410
52	77	1388
53	78	1366
54	78	1345
55	78	1324
56	78	1304
57	79	1285
58	79	1268
59	79	1250
60	80	1232
61	80	1215
62	80	1200
63	80	1183
64	81	1168
65	81	1153
66	81	1139
67	82	1125
68	82	1111
69	82	1098
70	82	1085
71	83	1073
72	83	1061
73	83	1049
74	84	1037
75	84	1025
76	84	1015
77	84	1004
78	85	993
79	85	983
80	85	973
81	86	964
82	86	953
83	86	944
84	86	936
85	87	928
86	87	920
87	88	912
88	88	903
89	88	894
90	88	886
91	89	878
92	89	871
93	89	863
94	89	856
95	90	849
96	90	842
97	90	835
98	91	828
99	91	821
100	91	816
101	91	809
102	92	805
103	92	800
104	93	794
105	93	788
106	93	782
107	94	777
108	94	771
109	94	765
110	94	760
111	95	755
112	95	750
113	96	746
114	96	741
115	96	736
116	96	731
117	97	726
118	97	722
119	97	718
120	98	713
121	98	708
122	98	703
123	99	699
124	99	696
125	99	692
126	100	687
127	100	683
128	100	679
129	101	676
130	101	672
131	101	668
132	102	665
133	102	660
134	102	656
135	102	653
136	103	649
137	103	646
138	103	643
139	104	639
140	104	636
141	104	631
142	104	628
143	105	624
144	105	621
145	105	618
146	106	615
147	106	611
148	106	608
149	106	605
150	107	601
151	107	598
152	107	595
153	107	592
154	108	589
155	108	586
156	108	583
157	108	580
158	109	577
159	109	574
160	109	571
161	109	568
162	110	565
163	110	562
164	110	559
165	110	557
166	111	554
167	111	551
168	111	549
169	111	546
170	112	543
171	112	541
172	112	539
173	113	536
174	113	534
175	113	531
176	113	529
177	114	527
178	114	524
179	114	522
180	114	520
181	115	517
182	115	515
183	115	513
184	116	511
185	116	509
186	116	507
187	116	504
188	117	502
189	117	500
190	117	498
191	118	496
192	118	494
193	118	492
194	118	490
195	119	488
196	119	486
197	119	484
198	120	483
199	120	481
200	120	479
201	120	477
202	121	475
203	121	473
204	121	471
205	121	469
206	122	468
207	122	466
208	122	464
209	122	462
210	123	460
211	123	459
212	123	457
213	124	455
214	124	453
215	124	452
216	124	450
217	125	448
218	125	447
219	125	445
220	125	443
221	126	442
222	126	441
223	126	439
224	127	438
225	127	436
226	127	435
227	128	433
228	128	432
229	128	430
230	128	429
231	129	427
232	129	426
233	129	425
234	130	423
235	130	422
236	130	420
237	130	419
238	131	417
239	131	416
240	131	414
241	132	413
242	132	412
243	132	411
244	133	410
245	133	408
246	133	407
247	133	405
248	134	404
249	134	403
250	134	401
251	134	400
252	135	398
253	135	397
254	135	396
255	135	395
256	136	393
257	136	392
258	136	391
259	136	389
260	137	388
261	137	387
